part_number,quantity,material,procured_stock,length_mm,thickness_mm,bounds_local_mm,individual_export_guarded,status,notes
FB_REAR_GUSSET_HIGH,1,A36 steel,A36 steel,,3,"[-160.0, -160.0, 0.0, 0.0, 0.0, 3.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Lowergussetnotches25.4×30.8aroundexistinglowersiderail.
PAN_BEARER_1,1,A5002x2x.120tube,A5002x2x.120tube,1016.4,,"[0.0, 0.0, 0.0, 1016.4, 50.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Finishedtubeendsweldto8mmendplates;boltedinside8mmhangers. TopZ730.
PB_HANGER,6,A36 steel,A36 steel; finish-machine8.000mmfrom3/8in9.525mmstock,,8,"[0.0, 0.0, 0.0, 80.0, 144.2, 8.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,4×M8through-tapped:predrill6.8;CADusesnominalthreadenvelope. Weldtopedgeunderledgerwith3mmfilletsbothaccessible sides.
PB_END,6,A36 steel,A36 steel; finish-machine8.000mmfrom3/8in9.525mmstock,,8,"[0.0, 0.0, 0.0, 80.0, 130.0, 8.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Weldtubetoendplate3mmfillets;matchfixturetobothhangerfacesbeforewelding.
STD_M8x16_SOCKET,40,M8x16class8.8,M8x16class8.8,,,"[-6.5, -6.5, 0.0, 6.5, 6.5, 24.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
STD_M8_WASHER,24,M8flatwasher16×8.4×1.6,M8flatwasher16×8.4×1.6,,,"[-8.0, -8.0, 0.0, 8.0, 8.0, 1.6]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
STD_M6_WELDNUT,28,M6weldnut,M6weldnut,,,"[-5.7735, -5.0, 0.0, 5.7735, 5.0, 5.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
PAN_BEARER_2,1,A5002x2x.120tube,A5002x2x.120tube,1016.4,,"[0.0, 0.0, 0.0, 1016.4, 50.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Finishedtubeendsweldto8mmendplates;boltedinside8mmhangers. TopZ730.
PAN_BEARER_3,1,A5002x2x.120tube,A5002x2x.120tube,1016.4,,"[0.0, 0.0, 0.0, 1016.4, 50.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Finishedtubeendsweldto8mmendplates;boltedinside8mmhangers. TopZ730.
TS_OUTER_TIE,2,A5002x2x.120tube,A5002x2x.120tube,648.8,,"[0.0, 0.0, 0.0, 50.8, 648.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Weldendsdirectlytomiddle/rearlegfaces. TopZ175.
TS_CROSS,3,A5002x2x.120tube,A5002x2x.120tube,1048.4,,"[0.0, 0.0, 0.0, 1048.4, 50.8, 50.8]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Continuous3mmendfillets;reservoirfloorrestsontop. RearcleanoutneckatY1260isclear.
SAND_ENDCAP_2IN,8,A36 steel,"A36 steel; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 0.0, 0.0, 50.8, 50.8, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Continuouslyweldclosurebeforeballastfilling. Neverweldwithsand/waterincompartment.
SAND_M20_BUNG,18,Machinedmildsteel,Machinedmildsteel,,,"[-15.0, -15.0, 0.0, 15.0, 15.0, 10.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"OD30×10;M20×1.5female,predrill18.5beforetap;nominalthreadenvelopeinSTEP. Continuouswatertightweldtotube."
SAND_M20_PLUG,18,CustomM20×1.5steelplug,CustomM20×1.5steelplug,,,"[-14.0, -14.0, 0.0, 14.0, 14.0, 16.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Turn20mmthread×10long,28mmhead×6,6mmhexsocket4deep;sealwasherorremovabledustsealant."
WP_FLOOR,1,A36 steel 0.120in sheet,"A36 steel 0.120in sheet; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 0.0, 0.0, 920.0, 1200.06, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Install at 1% downward slope toward rear. Continuous watertight seam welds. | Two48.5mmweldneckclearanceholes:drainand1.5instandpipe. No bend allowance required. | Drain center is0.35mm above absolute rear floor edge; residual film requires cleaning.
WP_SIDE,2,A36 steel,"A36 steel; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 3.0482, 0.0, 1200.0, 100.0, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Miter/fit lower seam to tilted floor; nominal corner weld gap<=0.1mm from 1% floor projection.
WP_END_FRONT,1,A36 steel,"A36 steel; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 0.0, 0.0, 913.904, 84.9518, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Welded end plate; dress local 0.031mm slope mismatch before welding.
WP_END_REAR,1,A36 steel,"A36 steel; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 0.0, 0.0, 913.904, 96.9214, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Welded end plate; dress local 0.031mm slope mismatch before welding.
WP_DRAIN_NECK,1,NPS1.5 schedule40 steel pipe,NPS1.5 schedule40 steel pipe,45,,"[-24.15, -24.15, 0.0, 24.15, 24.15, 45.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,OD48.3 ID40.9 per Wheatland schedule40 table. Flush upper end to floor; continuous weld. | Lower end:1.5 NPT male standard thread; match reducer/union to selected1in drain valve before plumbing assembly. | https://www.wheatland.com/wp-content/uploads/2017/12/Schedule-40-Submittal-Sheet.pdf
WP_OVERFLOW_STANDPIPE,1,NPS1.5 schedule40 steel pipe,NPS1.5 schedule40 steel pipe,375,,"[-24.15, -24.15, 0.0, 24.15, 24.15, 375.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Top edgeZ825 establishes pan overflow. Lower outletZ450 air-gaps above reservoir inlet. | https://www.wheatland.com/wp-content/uploads/2017/12/Schedule-40-Submittal-Sheet.pdf
WP_CRADLE_WEB_1_1,1,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 900.0, 16.24, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Weld web to bearer. Grind upper edge to measured floor slope; do not force-distort pan.
WP_CRADLE_WEB_1_2,1,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 900.0, 15.792, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Weld web to bearer. Grind upper edge to measured floor slope; do not force-distort pan.
WP_CRADLE_WEB_2_1,1,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 900.0, 11.24, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Weld web to bearer. Grind upper edge to measured floor slope; do not force-distort pan.
WP_CRADLE_WEB_2_2,1,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 900.0, 10.792, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Weld web to bearer. Grind upper edge to measured floor slope; do not force-distort pan.
WP_CRADLE_WEB_3_1,1,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 900.0, 6.49, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Weld web to bearer. Grind upper edge to measured floor slope; do not force-distort pan.
WP_CRADLE_WEB_3_2,1,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 900.0, 6.042, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Weld web to bearer. Grind upper edge to measured floor slope; do not force-distort pan.
WP_HOLD_TAB_1,1,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 26.0, 30.0, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Continuous6mm-side-edge weld to pan side. M6x40 restraint, not part of routing load path."
WP_HOLD_SPACER_1,1,A36 steel,A36 steel,19.244152396190202,,"[-6.0, -6.0, 0.0, 6.0, 6.0, 19.2442]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Machined spacer between bearer top and pan tab. Seats without pulling pan out of shape.
STD_M6x40_SOCKET,4,M6x40class8.8,M6x40class8.8,,,"[-5.0, -5.0, 0.0, 5.0, 5.0, 46.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
WP_HOLD_TAB_2,1,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 26.0, 30.0, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Continuous6mm-side-edge weld to pan side. M6x40 restraint, not part of routing load path."
WP_HOLD_SPACER_2,1,A36 steel,A36 steel,19.244152396190202,,"[-6.0, -6.0, 0.0, 6.0, 6.0, 19.2442]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Machined spacer between bearer top and pan tab. Seats without pulling pan out of shape.
WP_HOLD_TAB_3,1,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 26.0, 30.0, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Continuous6mm-side-edge weld to pan side. M6x40 restraint, not part of routing load path."
WP_HOLD_SPACER_3,1,A36 steel,A36 steel,9.494152396190202,,"[-6.0, -6.0, 0.0, 6.0, 6.0, 9.4942]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Machined spacer between bearer top and pan tab. Seats without pulling pan out of shape.
WP_HOLD_TAB_4,1,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 0.0, 0.0, 26.0, 30.0, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Continuous6mm-side-edge weld to pan side. M6x40 restraint, not part of routing load path."
WP_HOLD_SPACER_4,1,A36 steel,A36 steel,9.494152396190202,,"[-6.0, -6.0, 0.0, 6.0, 6.0, 9.4942]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Machined spacer between bearer top and pan tab. Seats without pulling pan out of shape.
WP_COMB,2,A36 steel,A36 steel; finish-machine6.000mmfrom1/4in6.35mmstock,,6,"[0.0, 3.5982, 0.0, 1120.0, 60.0, 6.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Continuous lower edge follows floor. Stitch weld to floor, alternating sides; slots3.6wide toZ775 seat."
WP_SLAT,19,A36 steel,"A36 steel; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 0.0, 0.0, 880.0, 75.0, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Replaceable loose slat;75height yields topZ850. No welding to comb.
WT_FLOOR,1,A36 steel,"A36 steel; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 0.0, 0.0, 906.096, 606.096, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Weld continuously to all walls. Floor drain allows washout; permanently vented, never pressure/vacuum-rated."
WT_SIDE,2,A36 steel,"A36 steel; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 0.0, 0.0, 606.096, 250.0, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,
WT_FRONT,1,A36 steel,"A36 steel; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 0.0, 0.0, 900.0, 250.0, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,
WT_REAR,1,A36 steel,"A36 steel; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 0.0, 0.0, 900.0, 250.0, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Rear port is the clarified pickup. The emergency overflow uses the separate internal standpipe through the floor.
WT_SETTLING_WEIR,1,A36 steel,"A36 steel; purchase0.120in sheet,verifyactualgauge",,3.048,"[0.0, 0.0, 0.0, 900.0, 50.0, 3.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Weld bottom and sides;topZ228.048. Retainssettledmaterialwithouttrappingexcesswater.
WT_PICKUP_PIPE,1,NPS0.5 schedule40 steel pipe,NPS0.5 schedule40 steel pipe,608.048,,"[-10.65, -10.65, 0.0, 10.65, 10.65, 608.048]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Axis+Y;open intake is25mm above internalfloor,inclarifiedfrontbay. Sealbafflepenetration. | Rearexternalend1/2NPTmale. Pumptripat55mmaboveinternalfloor. | https://www.wheatland.com/wp-content/uploads/2017/12/Schedule-40-Submittal-Sheet.pdf"
WT_EMERGENCY_OVERFLOW,1,NPS1.5 schedule40 steel pipe,NPS1.5 schedule40 steel pipe,292,,"[-24.15, -24.15, 0.0, 24.15, 24.15, 292.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Internal standpipe crest Z420.048,242mm above reservoir floor. Open outlet below tank atZ128.048 must route to a visible drain; never cap. | https://www.wheatland.com/wp-content/uploads/2017/12/Schedule-40-Submittal-Sheet.pdf"
WT_CLEANOUT_NECK,1,NPS1.5 schedule40 steel pipe,NPS1.5 schedule40 steel pipe,50,,"[-24.15, -24.15, 0.0, 24.15, 24.15, 50.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Flush upper end with inner floor; external lower end1.5NPT male for manual washout valve/cap. Keep accessible from rear. | https://www.wheatland.com/wp-content/uploads/2017/12/Schedule-40-Submittal-Sheet.pdf
